76561198719688859, 73, 170737
76561198121914915, 69, 187002
76561198294027867, 68, 174416
76561199041751880, 60, 112266
76561199859219640, 50, 99966
76561198179459659, 48, 190813
76561198165476081, 45, 78299
76561198129779874, 33, 152998
76561198291595574, 30, 121327
76561198402525714, 27, 163066
76561199469060977, 25, 68221
76561198062138723, 21, 28757
76561198285518588, 20, 13860
76561198068862961, 18, 16953
76561198249518144, 15, 36412
76561198232949968, 15, 18164
76561199403388510, 14, 9803
76561198127592884, 13, 32112
76561197984731256, 13, 29805
76561198046403973, 13, 20915
76561198262260876, 13, 17823
76561198244095970, 13, 16315
76561199829531782, 13, 12394
76561198061783705, 13, 12062
76561198095766867, 12, 16266
76561198160110596, 12, 11811
76561199059531193, 12, 9433
76561199850688802, 12, 9398
76561198988350691, 11, 13887
76561198133520001, 11, 13755
76561199469688898, 11, 13639
76561198213796761, 11, 12804
76561198055749226, 11, 11408
76561198152001402, 11, 11398
76561198268447927, 11, 11264
76561198137152281, 11, 9863
76561199547610282, 11, 9187
76561198188319719, 11, 9114
76561198052671459, 10, 39448
76561199212622728, 10, 19665
76561199068920632, 10, 14484
76561197965942959, 10, 13939
76561199524570898, 10, 11391
76561198155277035, 10, 11164
76561199790592529, 10, 8515
76561198448336961, 10, 7959
76561198366288173, 10, 6862
76561198117374929, 9, 26904
76561198255084525, 9, 13216
76561198317335125, 9, 11886
76561198119119319, 9, 8602
76561198081421947, 9, 8011
76561198119078402, 9, 7862
76561198138986569, 9, 7773
76561199226811368, 9, 7001
76561199624997768, 8, 16317
76561199795567194, 8, 15298
76561198128419120, 8, 12120
76561198086595268, 8, 11624
76561198062645090, 8, 11025
76561198025604295, 8, 9292
76561198105060663, 8, 8360
76561198883219888, 8, 6400
76561198258510013, 7, 29450
76561198184591199, 7, 21749
76561199387076449, 7, 17413
76561198134818752, 7, 15412
76561198311953350, 7, 10689
76561198329638490, 7, 9674
76561198086184343, 7, 7619
76561198061646259, 7, 7325
76561198084647899, 7, 7278
76561198190934095, 7, 6996
76561198206815579, 7, 5974
76561199803166008, 7, 5920
76561198078703360, 7, 5902
76561198061821035, 7, 5408
76561198194096567, 7, 4828
76561198400392142, 7, 4828
76561198985631992, 7, 4641
76561198106892076, 7, 3904
76561198346492384, 7, 3864
76561198197647607, 6, 17900
76561199522443018, 6, 11467
76561199696133376, 6, 11203
76561198286496456, 6, 10686
76561198262591845, 6, 10056
76561198114427592, 6, 6720
76561198088565913, 6, 6636
76561198411877687, 6, 6451
76561198136488689, 6, 6203
76561198095289462, 6, 5828
76561198172631691, 6, 5756
76561198328268527, 6, 5070
76561198046921732, 6, 4605
76561198355119008, 6, 4580
76561199050106970, 6, 4454
76561198254525417, 6, 3444
76561198064002109, 5, 60846
76561198287470734, 5, 22153
